Region,Nationality,Year,Number,,
Middle East,Jordan,2021,,,
Middle East,Kuwait,2021,"3,757",,
Middle East,Lebanon,2021,,,
Middle East,Oman,2021,,,
Middle East,Qatar,2021,,,
Middle East,Saudi  Arabia,2021,569,,
Middle East,U.A.E.,2021,"4,188",,
Middle East,Yemen,2021,,,
Middle East,Other Middle East,2021,"7,666",,
North Europe,Denmark,2021,"9,279",,
North Europe,Finland,2021,"6,571",,
North Europe,Iceland,2021,,,
North Europe,Ireland,2021,,,
North Europe,Norway,2021,"6,565",,
North Europe,Sweden,2021,"18,574",,
North Europe,United  Kingdom,2021,"42,853",,
West Europe,Austria,2021,"6,307",,
West Europe,Belgium,2021,"6,217",,
West Europe,France,2021,"27,135",,
West Europe,Germany,2021,"50,589",,
West Europe,Luxembourg,2021,,,
West Europe,Netherlands,2021,"9,924",,
West Europe,Switzerland,2021,"13,539",,
Central/East Europe,Belarus,2021,,,
Central/East Europe,Bulgaria,2021,,,
Central/East Europe,Czech Republic,2021,,,
Central/East Europe,Estonia,2021,,,
Central/East Europe,Hungary,2021,,,
Central/East Europe,Kazakhstan,2021,,,
Central/East Europe,Kyrgyzstan,2021,,,
Central/East Europe,Latvia,2021,,,
Central/East Europe,Lithuania,2021,,,
Central/East Europe,Poland,2021,,,
Central/East Europe,Romania,2021,,,
Central/East Europe,Russia,2021,"31,565",,
Central/East Europe,Slovakia,2021,,,
Central/East Europe,Ukraine,2021,,,
Central/East Europe,Uzbekistan,2021,,,
South/Medit Europe,Croatia,2021,,,
South/Medit Europe,Cyprus,2021,,,
South/Medit Europe,Greece,2021,,,
Middle East,Israel,2021,"14,549",,
South/Medit Europe,Italy,2021,"6,818",,
South/Medit Europe,Portugal,2021,,,
South/Medit Europe,Serbia,2021,,,
South/Medit Europe,Slovenia,2021,,,
South/Medit Europe,Spain,2021,"4,065",,
South/Medit Europe,Turkey,2021,,,
Europe,East  Europe,2021,"28,409",,
Europe,Other Europe,2021,"9,026",,
America,Canada,2021,"7,238",,
America,Mexico,2021,,,
America,USA,2021,"43,444",,
America,Argentina,2021,344,,
America,Brazil,2021,"1,671",,
America,Chile,2021,,,
America,Colombia,2021,,,
America,Peru,2021,,,
America,Uruguay,2021,,,
America,Other America,2021,"1,483",,
Africa,Morocco,2021,,,
Africa,South Africa,2021,"1,164",,
Africa,Ethiopia,2021,,,
Africa,Kenya,2021,,,
Africa,Mauritius,2021,,,
Africa,Other Afirca,2021,"2,605",,
ASEAN,Brunei,2022,"5,796",,
ASEAN,Cambodia,2022,"466,917",,
ASEAN,Indonesia,2022,"230,337",,
ASEAN,Laos,2022,"486,382",,
ASEAN,Malaysia,2022,"1,950,062",,
ASEAN,Myanmar,2022,"208,014",,
ASEAN,Philippines,2022,"169,382",,
ASEAN,Singapore,2022,"610,828",,
ASEAN,Vietnam,2022,"458,183",,
East Asia,China,2022,"258,662",,
East Asia,Hong Kong,2022,"158,987",,
East Asia,Japan,2022,"287,955",,
East Asia,North Korea,2022,,,
East Asia,South Korea,2022,"535,122",,
East Asia,Macao,2022,,,
East Asia,Mongolia,2022,,,
East Asia,Taiwan,2022,"90,149",,
East Asia,Other East Asia,2022,"12,480",,
South Asia,Bangladesh,2022,"78,866",,
South Asia,Bhutan,2022,,,
South Asia,India,2022,"981,995",,
South Asia,Iran,2022,,,
South Asia,Maldives,2022,,,
South Asia,Nepal,2022,"12,918",,
South Asia,Pakistan,2022,"48,357",,
South Asia,Sri  Lanka,2022,"13,149",,
South Asia,Other South Asia,2022,"26,019",,
Asia,Other in Asia,2022,,,
Oceania,Australia,2022,"331,484",,
Oceania,New  Zealand,2022,"34,672",,
Oceania,Other Oceania,2022,"2,542",,
Middle East,Bahrain,2022,,,
Middle East,Egypt,2022,"9,629",,
Middle East,Iraq,2022,,,
Middle East,Jordan,2022,,,
Middle East,Kuwait,2022,"44,698",,
Middle East,Lebanon,2022,,,
Middle East,Oman,2022,,,
Middle East,Qatar,2022,,,
Middle East,Saudi  Arabia,2022,"94,676",,
Middle East,U.A.E.,2022,"66,003",,
Middle East,Yemen,2022,,,
Middle East,Other Middle East,2022,"106,031",,
North Europe,Denmark,2022,"63,001",,
North Europe,Finland,2022,"37,923",,
North Europe,Iceland,2022,,,
North Europe,Ireland,2022,,,
North Europe,Norway,2022,"45,473",,
North Europe,Sweden,2022,"94,055",,
North Europe,United  Kingdom,2022,"432,245",,
West Europe,Austria,2022,"41,642",,
West Europe,Belgium,2022,"46,942",,
West Europe,France,2022,"260,283",,
West Europe,Germany,2022,"356,667",,
West Europe,Luxembourg,2022,,,
West Europe,Netherlands,2022,"113,311",,
West Europe,Switzerland,2022,"79,586",,
Central/East Europe,Belarus,2022,,,
Central/East Europe,Bulgaria,2022,,,
Central/East Europe,Czech Republic,2022,,,
Central/East Europe,Estonia,2022,,,
Central/East Europe,Hungary,2022,,,
Central/East Europe,Kazakhstan,2022,,,
Central/East Europe,Kyrgyzstan,2022,,,
Central/East Europe,Latvia,2022,,,
Central/East Europe,Lithuania,2022,,,
Central/East Europe,Poland,2022,,,
Central/East Europe,Romania,2022,,,
Central/East Europe,Russia,2022,"427,037",,
Central/East Europe,Slovakia,2022,,,
Central/East Europe,Ukraine,2022,,,
Central/East Europe,Uzbekistan,2022,,,
South/Medit Europe,Croatia,2022,,,
South/Medit Europe,Cyprus,2022,,,
South/Medit Europe,Greece,2022,,,
Middle East,Israel,2022,"145,490",,
South/Medit Europe,Italy,2022,"82,701",,
South/Medit Europe,Portugal,2022,,,
South/Medit Europe,Serbia,2022,,,
South/Medit Europe,Slovenia,2022,,,
South/Medit Europe,Spain,2022,"86,077",,
South/Medit Europe,Turkey,2022,,,
Europe,East  Europe,2022,"222,106",,
Europe,Other Europe,2022,"100,628",,
America,Canada,2022,"87,170",,
America,Mexico,2022,,,
America,USA,2022,"438,011",,
America,Argentina,2022,"7,549",,
America,Brazil,2022,"24,598",,
America,Chile,2022,,,
America,Colombia,2022,,,
America,Peru,2022,,,
America,Uruguay,2022,,,
America,Other America,2022,"28,720",,
Africa,Morocco,2022,,,
Africa,South Africa,2022,"32,071",,
Africa,Ethiopia,2022,,,
Africa,Kenya,2022,,,
Africa,Mauritius,2022,,,
Africa,Other Afirca,2022,"31,645",,
ASEAN,Brunei,2023,"14,134",,
ASEAN,Cambodia,2023,"583,708",,
ASEAN,Indonesia,2023,"762,118",,
ASEAN,Laos,2023,"919,401",,
ASEAN,Malaysia,2023,"4,626,422",,
ASEAN,Myanmar,2023,"394,134",,
ASEAN,Philippines,2023,"461,251",,
ASEAN,Singapore,2023,"1,027,424",,
ASEAN,Vietnam,2023,"1,033,688",,
East Asia,China,2023,"3,521,095",,
East Asia,Hong Kong,2023,"802,368",,
East Asia,Japan,2023,"805,768",,
East Asia,North Korea,2023,5,,
East Asia,South Korea,2023,"1,660,042",,
East Asia,Macao,2023,"40,892",,
East Asia,Mongolia,2023,"22,886",,
East Asia,Taiwan,2023,"724,594",,
East Asia,Other East Asia,2023,,,
South Asia,Bangladesh,2023,"140,657",,
South Asia,Bhutan,2023,"20,356",,
South Asia,India,2023,"1,628,542",,
South Asia,Iran,2023,"51,576",,
South Asia,Maldives,2023,"25,585",,
South Asia,Nepal,2023,"32,052",,
South Asia,Pakistan,2023,"66,129",,
South Asia,Sri  Lanka,2023,"33,893",,
South Asia,Other South Asia,2023,,,
Asia,Other in Asia,2023,859,,
Oceania,Australia,2023,"687,745",,
Oceania,New  Zealand,2023,"85,897",,
Oceania,Other Oceania,2023,"4,537",,
Middle East,Bahrain,2023,"26,071",,
Middle East,Egypt,2023,"14,930",,
Middle East,Iraq,2023,"3,960",,
Middle East,Jordan,2023,"11,023",,
Middle East,Kuwait,2023,"79,255",,
Middle East,Lebanon,2023,"3,617",,
Middle East,Oman,2023,"86,488",,
Middle East,Qatar,2023,"43,162",,
Middle East,Saudi  Arabia,2023,"178,113",,
Middle East,U.A.E.,2023,"138,934",,
Middle East,Yemen,2023,"8,460",,
Middle East,Other Middle East,2023,"6,486",,
North Europe,Denmark,2023,"115,224",,
North Europe,Finland,2023,"76,193",,
North Europe,Iceland,2023,"4,167",,
North Europe,Ireland,2023,"67,638",,
North Europe,Norway,2023,"83,952",,
North Europe,Sweden,2023,"178,259",,
